abmi_site,year,scientific_name,taxonomic_resolution,common_name,scientific_name_clean,latitude,longitude
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Hylocomium splendens,Species,Stair-step Moss,Hylocomium splendens,53.639076,-111.22509
1024,2015,Orthotrichum obtusifolium,Species,Blunt-leaved Bristle-moss,Orthotrichum obtusifolium,53.639076,-111.22509
1024,2015,Ptilium crista-castrensis,Species,Aspen Stocking Moss,Ptilium crista-castrensis,53.639076,-111.22509
1024,2015,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,53.639076,-111.22509
1024,2015,Sanionia uncinata,Species,Sickle-leaved Hook-moss,Sanionia uncinata,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Scapania glaucocephala,Species,Glaucous-headed Earwort,Scapania glaucocephala,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.639076,-111.22509
1024,2015,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.639076,-111.22509
1024,2015,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.639076,-111.22509
1024,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.639076,-111.22509
1024,2015,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.639076,-111.22509
1024,2015,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.639076,-111.22509
1057,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.477196,-111.518913
1057,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.477196,-111.518913
1057,2015,Orthotrichum obtusifolium,Species,Blunt-leaved Bristle-moss,Orthotrichum obtusifolium,53.477196,-111.518913
1057,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.477196,-111.518913
1057,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.477196,-111.518913
1057,2015,Orthotrichum obtusifolium,Species,Blunt-leaved Bristle-moss,Orthotrichum obtusifolium,53.477196,-111.518913
1057,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.477196,-111.518913
1057,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.477196,-111.518913
1057,2015,Orthotrichum elegans,Species,VNA,Orthotrichum elegans,53.477196,-111.518913
1057,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.477196,-111.518913
1057,2015,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.477196,-111.518913
1057,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.477196,-111.518913
1057,2015,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.477196,-111.518913
1057,2015,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.477196,-111.518913
1057,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.477196,-111.518913
1057,2015,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.477196,-111.518913
1057,2015,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.477196,-111.518913
1057,2015,Thuidium recognitum,Species,Lesser Tamarisk-moss,Thuidium recognitum,53.477196,-111.518913
1057,2015,Campylophyllum hispidulum,Species,Bristly Bentleaf Moss,Campylophyllum hispidulum,53.477196,-111.518913
1057,2015,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.477196,-111.518913
1057,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.477196,-111.518913
1057,2015,Ptilium crista-castrensis,Species,Aspen Stocking Moss,Ptilium crista-castrensis,53.477196,-111.518913
1057,2015,Pleurozium schreberi,Species,Red-stemmed Feather-moss,Pleurozium schreberi,53.477196,-111.518913
1057,2015,Gemmabryum caespiticium,Species,VNA,Gemmabryum caespiticium,53.477196,-111.518913
1057,2015,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,53.477196,-111.518913
1058,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.439003,-111.241508
1058,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.439003,-111.241508
1058,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.439003,-111.241508
1150,2015,Bryum argenteum,Species,VNA,Bryum argenteum,53.137333,-113.142067
1178,2017,Ptychostomum pseudotriquetrum,Species,VNA,Ptychostomum pseudotriquetrum,53.104702,-114.714417
1178,2017,Ptychostomum pseudotriquetrum,Species,VNA,Ptychostomum pseudotriquetrum,53.104702,-114.714417
1178,2017,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,53.104702,-114.714417
1178,2017,Ptychostomum pseudotriquetrum,Species,VNA,Ptychostomum pseudotriquetrum,53.104702,-114.714417
1178,2017,Warnstorfia fluitans,Species,Floating Hook-moss,Warnstorfia fluitans,53.104702,-114.714417
1178,2017,Hygroamblystegium varium,Species,Willow Feather-moss,Hygroamblystegium varium,53.104702,-114.714417
1179,2017,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.097267,-114.470749
1179,2017,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.097267,-114.470749
1179,2017,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.097267,-114.470749
1179,2017,Dicranum polysetum,Species,Broom Moss,Dicranum polysetum,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Campylophyllum hispidulum,Species,Bristly Bentleaf Moss,Campylophyllum hispidulum,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Pleurozium schreberi,Species,Red-stemmed Feather-moss,Pleurozium schreberi,53.097267,-114.470749
1179,2017,Ptilidium pulcherrimum,Species,Knight's Plume Moss,Ptilidium pulcherrimum,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.097267,-114.470749
1179,2017,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Campylophyllum hispidulum,Species,Bristly Bentleaf Moss,Campylophyllum hispidulum,53.097267,-114.470749
1179,2017,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,53.097267,-114.470749
1179,2017,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,53.097267,-114.470749
1179,2017,Dicranum flagellare,Species,Cushion Moss,Dicranum flagellare,53.097267,-114.470749
1179,2017,Platygyrium repens,Species,Flat-brocade Moss,Platygyrium repens,53.097267,-114.470749
1179,2017,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.097267,-114.470749
1179,2017,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.097267,-114.470749
1179,2017,Orthotrichum obtusifolium,Species,Blunt-leaved Bristle-moss,Orthotrichum obtusifolium,53.097267,-114.470749
1179,2017,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,53.097267,-114.470749
1179,2017,Platygyrium repens,Species,Flat-brocade Moss,Platygyrium repens,53.097267,-114.470749
1179,2017,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.097267,-114.470749
1179,2017,Pleurozium schreberi,Species,Red-stemmed Feather-moss,Pleurozium schreberi,53.097267,-114.470749
1179,2017,Orthotrichum elegans,Species,VNA,Orthotrichum elegans,53.097267,-114.470749
1179,2017,Oncophorus wahlenbergii,Species,Mountain Spur-moss,Oncophorus wahlenbergii,53.097267,-114.470749
1179,2017,Platygyrium repens,Species,Flat-brocade Moss,Platygyrium repens,53.097267,-114.470749
1179,2017,Oncophorus wahlenbergii,Species,Mountain Spur-moss,Oncophorus wahlenbergii,53.097267,-114.470749
1179,2017,Dicranum flagellare,Species,Cushion Moss,Dicranum flagellare,53.097267,-114.470749
1179,2017,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.097267,-114.470749
1179,2017,Platygyrium repens,Species,Flat-brocade Moss,Platygyrium repens,53.097267,-114.470749
1179,2017,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.097267,-114.470749
1179,2017,Platygyrium repens,Species,Flat-brocade Moss,Platygyrium repens,53.097267,-114.470749
1179,2017,Dicranum flagellare,Species,Cushion Moss,Dicranum flagellare,53.097267,-114.470749
1179,2017,Dicranum flagellare,Species,Cushion Moss,Dicranum flagellare,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Dicranum flagellare,Species,Cushion Moss,Dicranum flagellare,53.097267,-114.470749
1179,2017,Dicranum flagellare,Species,Cushion Moss,Dicranum flagellare,53.097267,-114.470749
1179,2017,Dicranum flagellare,Species,Cushion Moss,Dicranum flagellare,53.097267,-114.470749
1179,2017,Lophocolea heterophylla,Species,Variable-leaved Crestwort,Lophocolea heterophylla,53.097267,-114.470749
1179,2017,Ptilidium pulcherrimum,Species,Knight's Plume Moss,Ptilidium pulcherrimum,53.097267,-114.470749
1179,2017,Ptilidium pulcherrimum,Species,Knight's Plume Moss,Ptilidium pulcherrimum,53.097267,-114.470749
1179,2017,Ptilidium pulcherrimum,Species,Knight's Plume Moss,Ptilidium pulcherrimum,53.097267,-114.470749
1179,2017,Pleurozium schreberi,Species,Red-stemmed Feather-moss,Pleurozium schreberi,53.097267,-114.470749
1179,2017,Pleurozium schreberi,Species,Red-stemmed Feather-moss,Pleurozium schreberi,53.097267,-114.470749
1179,2017,Ptilium crista-castrensis,Species,Aspen Stocking Moss,Ptilium crista-castrensis,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.097267,-114.470749
1179,2017,Orthotrichum obtusifolium,Species,Blunt-leaved Bristle-moss,Orthotrichum obtusifolium,53.097267,-114.470749
1179,2017,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Campylophyllum hispidulum,Species,Bristly Bentleaf Moss,Campylophyllum hispidulum,53.097267,-114.470749
1179,2017,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.097267,-114.470749
1179,2017,Hygroamblystegium varium,Species,Willow Feather-moss,Hygroamblystegium varium,53.097267,-114.470749
1179,2017,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,53.097267,-114.470749
1179,2017,Sanionia uncinata,Species,Sickle-leaved Hook-moss,Sanionia uncinata,53.097267,-114.470749
1179,2017,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.097267,-114.470749
1179,2017,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,53.097267,-114.470749
1179,2017,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.097267,-114.470749
1179,2017,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.097267,-114.470749
1179,2017,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.097267,-114.470749
1179,2017,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,53.097267,-114.470749
1179,2017,Amblystegium serpens,Species,Creeping Feather-Moss,Amblystegium serpens,53.097267,-114.470749
1179,2017,Hygroamblystegium varium,Species,Willow Feather-moss,Hygroamblystegium varium,53.097267,-114.470749
1179,2017,Leptobryum pyriforme,Species,Golden Thread-moss,Leptobryum pyriforme,53.097267,-114.470749
1179,2017,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,53.097267,-114.470749
1179,2017,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,53.097267,-114.470749
1179,2017,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,53.097267,-114.470749
1179,2017,Haplocladium microphyllum,Species,Tinyleaf Small Plume Moss,Haplocladium microphyllum,53.097267,-114.470749
1179,2017,Oncophorus wahlenbergii,Species,Mountain Spur-moss,Oncophorus wahlenbergii,53.097267,-114.470749
1179,2017,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,53.097267,-114.470749
1179,2017,Ptilidium pulcherrimum,Species,Knight's Plume Moss,Ptilidium pulcherrimum,53.097267,-114.470749
1190,2015,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,52.711926,-111.237335
1190,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,52.711926,-111.237335
1190,2015,Leptobryum pyriforme,Species,Golden Thread-moss,Leptobryum pyriforme,52.711926,-111.237335
1190,2015,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,52.711926,-111.237335
1190,2015,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,52.711926,-111.237335
1190,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,52.711926,-111.237335
1190,2015,Pylaisia polyantha,Species,Many-flowered Leskea,Pylaisia polyantha,52.711926,-111.237335
1190,2015,Ceratodon purpureus,Species,Purple Moss,Ceratodon purpureus,52.711926,-111.237335
1190,2015,Plagiomnium cuspidatum,Species,Woodsy Thyme-moss,Plagiomnium cuspidatum,52.711926,-111.237335
1190,2015,Bryum argenteum,Species,VNA,Bryum argenteum,52.711926,-111.237335
